iter	Passed	Remaining
843	30210	37799
844	30243	37759
845	30274	37718
846	30306	37677
847	30339	37638
848	30372	37599
849	30406	37560
850	30438	37520
851	30468	37478
852	30501	37438
853	30534	37398
854	30566	37358
855	30598	37319
856	30631	37279
857	30663	37238
858	30694	37198
859	30726	37158
860	30760	37119
861	30794	37082
862	30827	37043
863	30860	37003
864	30892	36963
865	30924	36924
866	30958	36885
867	30989	36844
868	31022	36805
869	31055	36766
870	31088	36728
871	31120	36687
872	31152	36647
873	31185	36609
874	31217	36569
875	31249	36529
876	31281	36489
877	31315	36451
878	31346	36410
879	31379	36371
880	31411	36332
881	31444	36292
882	31476	36253
883	31509	36214
884	31542	36175
885	31573	36134
886	31605	36094
887	31636	36054
888	31668	36014
889	31702	35977
890	31735	35938
891	31766	35897
892	31798	35858
893	31830	35817
894	31861	35777
895	31893	35737
896	31925	35698
897	31958	35659
898	31990	35620
899	32024	35582
900	32056	35542
901	32088	35503
902	32119	35463
903	32151	35423
904	32181	35382
905	32214	35343
906	32246	35303
907	32277	35263
908	32309	35224
909	32341	35185
910	32374	35146
911	32405	35106
912	32437	35066
913	32469	35027
914	32502	34989
915	32534	34949
916	32566	34910
917	32597	34869
918	32629	34830
919	32661	34791
920	32693	34752
921	32725	34713
922	32757	34674
923	32790	34636
924	32822	34596
925	32854	34558
926	32889	34521
927	32921	34482
928	32955	34445
929	32987	34406
930	33021	34369
931	33055	34332
932	33087	34292
933	33118	34252
934	33149	34213
935	33181	34173
936	33213	34134
937	33245	34096
938	33278	34058
939	33310	34019
940	33341	33979
941	33374	33941
942	33406	33902
943	33439	33865
944	33471	33825
945	33507	33790
946	33551	33764
947	33590	33732
948	33628	33699
949	33662	33662
950	33696	33625
951	33731	33589
952	33766	33554
953	33798	33515
954	33829	33475
955	33860	33435
956	33893	33398
957	33925	33359
958	33957	33319
959	33988	33280
960	34020	33241
961	34052	33203
962	34084	33164
963	34117	33126
964	34154	33092
965	34188	33056
966	34221	33018
967	34259	32985
968	34321	32975
969	34354	32937
970	34390	32902
971	34424	32866
972	34459	32830
973	34495	32795
974	34531	32760
975	34568	32726
976	34603	32691
977	34639	32656
978	34674	32620
979	34709	32584
980	34743	32547
981	34780	32513
982	34813	32476
983	34843	32435
984	34875	32397
985	34906	32357
986	34939	32319
987	34971	32281
988	35004	32243
989	35037	32206
990	35069	32168
991	35100	32128
992	35132	32089
993	35164	32051
994	35196	32013
995	35228	31974
996	35260	31935
997	35292	31897
998	35325	31860
999	35356	31821
1000	35389	31783
1001	35421	31744
1002	35451	31705
1003	35484	31667
1004	35516	31629
1005	35548	31591
1006	35580	31552
1007	35613	31515
1008	35645	31477
1009	35677	31438
1010	35710	31400
1011	35742	31363
1012	35773	31323
1013	35810	31289
1014	35845	31254
1015	35876	31215
1016	35908	31177
1017	35940	31139
1018	35972	31100
1019	36004	31062
1020	36036	31024
1021	36069	30987
1022	36101	30949
1023	36132	30910
1024	36164	30872
1025	36197	30834
1026	36230	30797
1027	36262	30759
1028	36293	30721
1029	36325	30683
1030	36358	30645
1031	36390	30607
1032	36421	30568
1033	36454	30531
1034	36486	30493
1035	36517	30454
1036	36548	30416
1037	36579	30377
1038	36612	30340
1039	36645	30302
1040	36676	30263
1041	36708	30226
1042	36742	30189
1043	36773	30151
1044	36804	30112
1045	36837	30075
1046	36870	30038
1047	36905	30002
1048	36940	29967
1049	36981	29937
1050	37014	29900
1051	37049	29864
1052	37080	29826
1053	37113	29789
1054	37144	29751
1055	37178	29714
1056	37211	29677
1057	37243	29640
1058	37276	29603
1059	37310	29566
1060	37342	29528
1061	37375	29492
1062	37407	29454
1063	37442	29419
1064	37478	29384
1065	37511	29347
1066	37547	29313
1067	37584	29279
1068	37618	29243
1069	37653	29208
1070	37686	29170
1071	37718	29133
1072	37753	29098
1073	37787	29062
1074	37819	29024
1075	37850	28986
1076	37882	28948
1077	37915	28911
1078	37945	28872
1079	37977	28834
1080	38019	28804
1081	38057	28771
1082	38090	28734
1083	38123	28697
1084	38155	28660
1085	38186	28622
1086	38220	28586
1087	38252	28548
1088	38282	28509
1089	38313	28471
1090	38345	28433
1091	38377	28396
1092	38410	28359
1093	38442	28321
1094	38472	28283
1095	38502	28244
1096	38535	28207
1097	38565	28169
1098	38597	28131
1099	38630	28095
1100	38663	28057
1101	38695	28020
1102	38728	27984
1103	38762	27948
1104	38795	27911
1105	38828	27874
1106	38860	27837
1107	38892	27800
1108	38924	27763
1109	38957	27726
1110	38990	27689
1111	39021	27652
1112	39053	27614
1113	39085	27577
1114	39118	27540
1115	39150	27503
1116	39183	27466
1117	39215	27429
1118	39246	27392
1119	39279	27355
1120	39311	27317
1121	39342	27280
1122	39374	27242
1123	39405	27205
1124	39437	27168
1125	39469	27130
1126	39502	27094
1127	39534	27057
1128	39565	27019
1129	39597	26982
1130	39629	26945
1131	39660	26907
1132	39692	26870
1133	39724	26833
1134	39756	26796
1135	39788	26759
1136	39819	26721
1137	39850	26683
1138	39882	26646
1139	39913	26609
1140	39946	26572
1141	39978	26535
1142	40009	26497
1143	40042	26461
1144	40073	26424
1145	40107	26388
1146	40140	26352
1147	40171	26314
1148	40205	26278
1149	40236	26241
1150	40268	26204
1151	40300	26167
1152	40332	26130
1153	40365	26094
1154	40398	26058
1155	40431	26021
1156	40463	25984
1157	40493	25946
1158	40525	25909
1159	40557	25873
1160	40588	25835
1161	40621	25799
1162	40652	25761
1163	40685	25725
1164	40717	25688
1165	40749	25651
1166	40781	25615
1167	40813	25578
1168	40844	25540
1169	40876	25503
1170	40908	25467
1171	40940	25430
1172	40970	25392
1173	41002	25355
1174	41032	25317
1175	41063	25280
1176	41095	25244
1177	41127	25207
1178	41160	25170
1179	41192	25134
1180	41224	25097
1181	41256	25060
1182	41288	25024
1183	41321	24988
1184	41352	24950
1185	41383	24913
1186	41415	24877
1187	41448	24840
1188	41480	24804
1189	41512	24767
1190	41546	24732
1191	41578	24695
1192	41610	24659
1193	41642	24622
1194	41675	24586
1195	41708	24550
1196	41739	24513
1197	41770	24476
1198	41802	24440
1199	41835	24403
1200	41867	24367
1201	41898	24330
1202	41930	24294
1203	41962	24257
1204	41994	24221
1205	42027	24184
1206	42059	24148
1207	42092	24112
1208	42125	24076
1209	42156	24039
1210	42189	24003
1211	42222	23968
1212	42256	23932
1213	42290	23897
1214	42324	23861
1215	42358	23826
